Year,Month,day,Hour,Demand,Price
2013.0,1.0,1.0,1.0,10512.92,34.061819999999997
2013.0,1.0,1.0,2.0,10120.24,32.605690000000003
2013.0,1.0,1.0,3.0,9755.8500000000004,30.834589999999999
2013.0,1.0,1.0,4.0,9509.5599999999995,29.802160000000001
2013.0,1.0,1.0,5.0,9537.0699999999997,29.222010000000001
2013.0,1.0,1.0,6.0,9834.6200000000008,30.124749999999999
2013.0,1.0,1.0,7.0,10395.41,31.78097
2013.0,1.0,1.0,8.0,10700.83,31.94276
2013.0,1.0,1.0,9.0,10754.690000000001,33.409779999999998
2013.0,1.0,1.0,10.0,10769.67,34.491340000000001
2013.0,1.0,1.0,11.0,10880.35,34.326120000000003
2013.0,1.0,1.0,12.0,10836.33,30.481649999999998
2013.0,1.0,1.0,13.0,10714.950000000001,30.110389999999999
2013.0,1.0,1.0,14.0,10560.790000000001,29.736660000000001
2013.0,1.0,1.0,15.0,10459.879999999999,29.83099
2013.0,1.0,1.0,16.0,10610.389999999999,31.698350000000001
2013.0,1.0,1.0,17.0,11181.120000000001,34.147239999999996
2013.0,1.0,1.0,18.0,12855.459999999999,44.665619999999997
2013.0,1.0,1.0,19.0,13478.42,50.530340000000002
2013.0,1.0,1.0,20.0,13363.48,47.691630000000004
2013.0,1.0,1.0,21.0,13049.07,46.234349999999999
2013.0,1.0,1.0,22.0,12471.9,42.208419999999997
2013.0,1.0,1.0,23.0,11554.98,39.53152
2013.0,1.0,1.0,24.0,10758.969999999999,32.457569999999997
2013.0,1.0,2.0,1.0,10404.52,32.304360000000003
2013.0,1.0,2.0,2.0,10145.700000000001,31.658429999999999
2013.0,1.0,2.0,3.0,9959.3899999999994,30.610690000000002
2013.0,1.0,2.0,4.0,9946.9500000000007,30.50797
2013.0,1.0,2.0,5.0,10242.629999999999,31.929960000000001
2013.0,1.0,2.0,6.0,10973.290000000001,35.208060000000003
2013.0,1.0,2.0,7.0,12148.43,40.01464
2013.0,1.0,2.0,8.0,12972.059999999999,40.381030000000003
2013.0,1.0,2.0,9.0,12948.35,40.88579
2013.0,1.0,2.0,10.0,12822.629999999999,40.744140000000002
2013.0,1.0,2.0,11.0,12695.9,38.140830000000001
2013.0,1.0,2.0,12.0,12531.700000000001,37.201059999999998
2013.0,1.0,2.0,13.0,12305.280000000001,35.728029999999997
2013.0,1.0,2.0,14.0,12168.01,34.069839999999999
2013.0,1.0,2.0,15.0,12033.75,34.12256
2013.0,1.0,2.0,16.0,12029.540000000001,35.430979999999998
2013.0,1.0,2.0,17.0,12419.629999999999,37.753120000000003
2013.0,1.0,2.0,18.0,13899.209999999999,52.987430000000003
